Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
Acura	MDX.4WD	Special.Purpose.Vehicle.SUV.4WD	3.7	6	16	21	18	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	3294
Acura	RDX.2WD	Special.Purpose.Vehicle.SUV.2WD	2.3	4	19	24	21	N	Turbocharged	Semi-Automatic	5	2-Wheel.Drive.Front	2820
Acura	RDX.4WD	Special.Purpose.Vehicle.SUV.4WD	2.3	4	17	22	19	N	Turbocharged	Semi-Automatic	5	All.Wheel.Drive	3117
Acura	TL.2WD	Midsize.Cars	3.5	6	20	29	23	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2577
Acura	TL.4WD	Midsize.Cars	3.7	6	18	26	21	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	2820
Acura	TSX	Compact.Cars	2.4	4	22	31	26	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Front	2281
Acura	TSX.WAGON	Small.Station.Wagons	2.4	4	22	30	25	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Front	2370
Acura	ZDX.4WD	Special.Purpose.Vehicle.SUV.4WD	3.7	6	16	23	19	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	3117
Aston.Martin	DB9	Minicompact.Cars	5.9	12	13	20	15	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3202
Aston.Martin	DBS	Minicompact.Cars	5.9	12	12	18	14	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3427
Aston.Martin	Rapide	Subcompact.Cars	5.9	12	13	19	15	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3202
Aston.Martin	V12.Vantage	Two.Seaters	5.9	12	11	17	13	Y	Naturally.Aspirated	Manual	6	2-Wheel.Drive.Rear	3691
Aston.Martin	V8.Vantage	Two.Seaters	4.7	8	14	20	16	Y	Naturally.Aspirated	Automated.Manual	6	2-Wheel.Drive.Rear	3000
Aston.Martin	Virage	Minicompact.Cars	5.9	12	13	18	15	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	3202
Audi	A3	Small.Station.Wagons	2.0	4	30	42	34	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	1367
Audi	A4	Compact.Cars	2.0	4	22	30	25	N	Turbocharged	Continuously.Variable	1	2-Wheel.Drive.Front	1920
Audi	A5.QUATTRO	Subcompact.Cars	2.0	4	21	29	24	N	Turbocharged	Semi-Automatic	8	All.Wheel.Drive	2002
Audi	A6	Midsize.Cars	2.0	4	25	33	28	N	Turbocharged	Continuously.Variable	1	2-Wheel.Drive.Front	2115
Audi	A7.quattro	Midsize.Cars	3.0	6	18	28	22	N	Supercharged	Semi-Automatic	8	All.Wheel.Drive	2184
Audi	A8	Midsize.Cars	4.2	8	18	28	21	N	Naturally.Aspirated	Semi-Automatic	8	All.Wheel.Drive	2285
Audi	Q5	Special.Purpose.Vehicle.SUV.4WD	2.0	4	20	27	22	N	Turbocharged	Semi-Automatic	8	All.Wheel.Drive	2184
Audi	Q7	Special.Purpose.Vehicle.SUV.4WD	3.0	6	16	22	18	N	Supercharged	Semi-Automatic	8	All.Wheel.Drive	2669
Audi	R8	Two.Seaters	4.2	8	13	21	16	Y	Naturally.Aspirated	Automated.Manual	6	All.Wheel.Drive	3000
Audi	R8.Spyder	Two.Seaters	4.2	8	13	21	16	Y	Naturally.Aspirated	Automated.Manual	6	All.Wheel.Drive	3000
Audi	S4	Compact.Cars	3.0	6	18	28	21	N	Supercharged	Semi-Automatic	7	All.Wheel.Drive	2285
Audi	S5	Subcompact.Cars	4.2	8	16	24	19	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	2525
Audi	TT.COUPE.QUATTRO	Subcompact.Cars	2.0	4	23	31	26	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	1848
Audi	TT.ROADSTER.QUATTRO	Two.Seaters	2.0	4	23	31	26	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	1848
Audi	TTRS.COUPE	Subcompact.Cars	2.5	5	18	25	20	N	Turbocharged	Manual	6	All.Wheel.Drive	2400
Bentley	Continental.Flying.Spur	Midsize.Cars	6.0	12	11	19	14	Y	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	3427
Bentley	Continental.GT	Compact.Cars	6.0	12	12	19	14	Y	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	3427
Bentley	Continental.Supersports	Two.Seaters	6.0	12	12	19	14	Y	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	3427
Bentley	Mulsanne	Midsize.Cars	6.8	8	11	18	13	Y	Turbocharged	Semi-Automatic	8	2-Wheel.Drive.Rear	4456
BMW	128i	Subcompact.Cars	3.0	6	18	28	21	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	2820
BMW	135i	Subcompact.Cars	3.0	6	18	25	21	N	Turbocharged	Semi-Automatic	7	2-Wheel.Drive.Rear	2820
